"TI","AB"
"FOOD TRACEABILITY 4.0 AS PART OF THE FOURTH INDUSTRIAL REVOLUTION: KEY ENABLING TECHNOLOGIES","FOOD TRACEABILITY 4.0 (FT 4.0) IS ABOUT TRACING FOODS IN THE ERA OF THE FOURTH INDUSTRIAL REVOLUTION (INDUSTRY 4.0) WITH TECHNIQUES AND TECHNOLOGIES REFLECTING THIS NEW REVOLUTION. INTEREST IN FOOD TRACEABILITY HAS GAINED MOMENTUM IN RESPONSE TO, AMONG OTHERS EVENTS, THE OUTBREAK OF THE COVID-19 PANDEMIC, REINFORCING THE NEED FOR DIGITAL FOOD TRACEABILITY THAT PREVENTS FOOD FRAUD AND PROVIDES RELIABLE INFORMATION ABOUT FOOD. THIS REVIEW WILL BRIEFLY SUMMARIZE THE MOST COMMON CONVENTIONAL METHODS AVAILABLE TO DETERMINE FOOD AUTHENTICITY BEFORE HIGHLIGHTING EXAMPLES OF EMERGING TECHNIQUES THAT CAN BE USED TO COMBAT FOOD FRAUD AND IMPROVE FOOD TRACEABILITY. A PARTICULAR FOCUS WILL BE ON THE CONCEPT OF FT 4.0 AND THE SIGNIFICANT ROLE OF DIGITAL SOLUTIONS AND OTHER RELEVANT INDUSTRY 4.0 INNOVATIONS IN ENHANCING FOOD TRACEABILITY. BASED ON THIS REVIEW, A POSSIBLE NEW RESEARCH TOPIC, NAMELY FT 4.0, IS ENCOURAGED TO TAKE ADVANTAGE OF THE RAPID DIGITALIZATION AND TECHNOLOGICAL ADVANCES OCCURRING IN THE ERA OF INDUSTRY 4.0. THE MAIN FT 4.0 ENABLERS ARE BLOCKCHAIN, THE INTERNET OF THINGS, ARTIFICIAL INTELLIGENCE, AND BIG DATA. DIGITAL TECHNOLOGIES IN THE AGE OF INDUSTRY 4.0 HAVE SIGNIFICANT POTENTIAL TO IMPROVE THE WAY FOOD IS TRACED, DECREASE FOOD WASTE AND REDUCE VULNERABILITY TO FRAUD OPENING NEW OPPORTUNITIES TO ACHIEVE SMARTER FOOD TRACEABILITY. ALTHOUGH MOST OF THESE EMERGING TECHNOLOGIES ARE STILL UNDER DEVELOPMENT, IT IS ANTICIPATED THAT FUTURE RESEARCH WILL OVERCOME CURRENT LIMITATIONS MAKING LARGE-SCALE APPLICATIONS POSSIBLE."
"FOOD QUALITY 4.0: FROM TRADITIONAL APPROACHES TO DIGITALIZED AUTOMATED ANALYSIS","FOOD QUALITY HAS RECENTLY RECEIVED CONSIDERABLE ATTENTION FROM GOVERNMENTS, RESEARCHERS, AND CONSUMERS DUE TO THE INCREASING DEMAND FOR HEALTHIER AND MORE NUTRITIOUS FOOD PRODUCTS. TRADITIONALLY, FOOD QUALITY IS DETERMINED USING A RANGE OF DESTRUCTIVE AND TIME-CONSUMING APPROACHES WITH MODEST ANALYTICAL PERFORMANCE, UNDERSCORING THE URGENT NEED TO DEVELOP NOVEL ANALYTICAL TECHNIQUES. THE FOURTH INDUSTRIAL REVOLUTION (CALLED INDUSTRY 4.0) IS PROGRESSING EXPONENTIALLY, DRIVEN BY THE ADVENT OF A RANGE OF DIGITAL TECHNOLOGIES AND OTHER INNOVATIVE TECHNOLOGICAL ADVANCES. ``FOOD QUALITY 4.0'' IS A NEW CONCEPT REFERRING TO THE USE OF INDUSTRY 4.0 TECHNOLOGIES IN FOOD ANALYSIS TO ACHIEVE RAPID, RELIABLE, AND OBJECTIVE ASSESSMENT OF FOOD QUALITY. IN THIS REVIEW, WE WILL FIRST DISCUSS THE FUNDAMENTALS AND PRINCIPLES OF FOOD INDUSTRY 4.0 TECHNOLOGIES AND THEIR CONNECTIONS WITH THE FOOD QUALITY 4.0 CONCEPT. THEN, THE MOST COMMON TECHNIQUES USED TO DETERMINE FOOD QUALITY WILL BRIEFLY BE REVIEWED BEFORE HIGHLIGHTING THE ADVANCEMENTS MADE IN ANALYTICAL TECHNIQUES TO ASSESS FOOD QUALITY IN THE ERA OF INDUSTRY 4.0. FOOD QUALITY 4.0 IS CHARACTERIZED BY GROWING DIGITALIZATION AND AUTOMATION OF FOOD ANALYSIS USING THE MOST ADVANCED TECHNOLOGIES IN THE FOOD INDUSTRY. KEY ASPECTS OF FOOD QUALITY 4.0, INCLUDING, AMONG OTHERS, NONDESTRUCTIVE FINGERPRINTING TECHNIQUES, OMICS TECHNOLOGIES AND BIOINFORMATICS TOOLS, ARTIFICIAL INTELLIGENCE AND BIG DATA, HAVE GREAT POTENTIAL TO REVOLUTIONIZE FOOD QUALITY. ALTHOUGH MOST OF THESE TECHNOLOGIES ARE STILL UNDER DEVELOPMENT, IT IS ANTICIPATED THAT FUTURE RESEARCH WILL OVERCOME CURRENT LIMITATIONS FOR LARGE-SCALE APPLICATIONS."
"INTEGRATION OF PRIVACY PROTECTION AND BLOCKCHAIN-BASED FOOD SAFETY TRACEABILITY: POTENTIAL AND CHALLENGES","CONCERN ABOUT FOOD SAFETY HAS BECOME A HOT TOPIC, AND NUMEROUS RESEARCHERS HAVE COME UP WITH VARIOUS EFFECTIVE SOLUTIONS. TO ENSURE THE SAFETY OF FOOD AND AVOID FINANCIAL LOSS, IT IS IMPORTANT TO IMPROVE THE SAFETY OF FOOD INFORMATION IN ADDITION TO THE QUALITY OF FOOD. ADDITIONALLY, PROTECTING THE PRIVACY AND SECURITY OF FOOD CAN INCREASE FOOD HARVESTS FROM A TECHNOLOGICAL PERSPECTIVE, REDUCE INDUSTRIAL POLLUTION, MITIGATE ENVIRONMENTAL IMPACTS, AND OBTAIN HEALTHIER AND SAFER FOOD. THEREFORE, FOOD TRACEABILITY IS ONE OF THE MOST EFFECTIVE METHODS AVAILABLE. COLLECTING AND ANALYZING KEY INFORMATION ON FOOD TRACEABILITY, AS WELL AS RELATED TECHNOLOGY NEEDS, CAN IMPROVE THE EFFICIENCY OF THE TRACEABILITY CHAIN AND PROVIDE IMPORTANT INSIGHTS FOR MANAGERS. TECHNOLOGY SOLUTIONS, SUCH AS THE INTERNET OF THINGS (IOT), ARTIFICIAL INTELLIGENCE (AI), PRIVACY PRESERVATION (PP), AND BLOCKCHAIN (BC), ARE PROPOSED FOR FOOD MONITORING, TRACEABILITY, AND ANALYSIS OF COLLECTED DATA, AS WELL AS INTELLIGENT DECISION-MAKING, TO SUPPORT THE SELECTION OF THE BEST SOLUTION. HOWEVER, RESEARCH ON THE INTEGRATION OF THESE TECHNOLOGIES IS STILL LACKING, ESPECIALLY IN THE INTEGRATION OF PP WITH FOOD TRACEABILITY. TO THIS END, THE STUDY PROVIDES A SYSTEMATIC REVIEW OF THE USE OF PP TECHNOLOGY IN FOOD TRACEABILITY AND IDENTIFIES THE SECURITY NEEDS AT EACH STAGE OF FOOD TRACEABILITY IN TERMS OF DATA FLOW AND TECHNOLOGY. THEN, THE WORK RELATED TO FOOD SAFETY TRACEABILITY IS FULLY DISCUSSED, PARTICULARLY WITH REGARD TO THE BENEFITS OF PP INTEGRATION. FINALLY, CURRENT DEVELOPMENTS IN THE LIMITATIONS OF FOOD TRACEABILITY ARE DISCUSSED, AND SOME POSSIBLE SUGGESTIONS FOR THE ADOPTION OF INTEGRATED TECHNOLOGIES ARE MADE."
"THE FOURTH INDUSTRIAL REVOLUTION IN THE FOOD INDUSTRY-PART II: EMERGING FOOD TRENDS","THE FOOD INDUSTRY HAS RECENTLY BEEN UNDER UNPRECEDENTED PRESSURE DUE TO MAJOR GLOBAL CHALLENGES, SUCH AS CLIMATE CHANGE, EXPONENTIAL INCREASE IN WORLD POPULATION AND URBANIZATION, AND THE WORLDWIDE SPREAD OF NEW DISEASES AND PANDEMICS, SUCH AS THE COVID-19. THE FOURTH INDUSTRIAL REVOLUTION (INDUSTRY 4.0) HAS BEEN GAINING MOMENTUM SINCE 2015 AND HAS REVOLUTIONIZED THE WAY IN WHICH FOOD IS PRODUCED, TRANSPORTED, STORED, PERCEIVED, AND CONSUMED WORLDWIDE, LEADING TO THE EMERGENCE OF NEW FOOD TRENDS. AFTER REVIEWING INDUSTRY 4.0 TECHNOLOGIES (E.G. ARTIFICIAL INTELLIGENCE, SMART SENSORS, ROBOTICS, BLOCKCHAIN, AND THE INTERNET OF THINGS) IN PART I OF THIS WORK (HASSOUN, AIT-KADDOUR, ET AL. 2022. THE FOURTH INDUSTRIAL REVOLUTION IN THE FOOD INDUSTRY-PART I: INDUSTRY 4.0 TECHNOLOGIES. CRITICAL REVIEWS IN FOOD SCIENCE AND NUTRITION, 1-17.), THIS COMPLIMENTARY REVIEW WILL FOCUS ON EMERGING FOOD TRENDS (SUCH AS FORTIFIED AND FUNCTIONAL FOODS, ADDITIVE MANUFACTURING TECHNOLOGIES, CULTURED MEAT, PRECISION FERMENTATION, AND PERSONALIZED FOOD) AND THEIR CONNECTION WITH INDUSTRY 4.0 INNOVATIONS. IMPLEMENTATION OF NEW FOOD TRENDS HAS BEEN ASSOCIATED WITH RECENT ADVANCES IN INDUSTRY 4.0 TECHNOLOGIES, ENABLING A RANGE OF NEW POSSIBILITIES. THE RESULTS SHOW SEVERAL POSITIVE FOOD TRENDS THAT REFLECT INCREASED AWARENESS OF FOOD CHAIN ACTORS OF THE FOOD-RELATED HEALTH AND ENVIRONMENTAL IMPACTS OF FOOD SYSTEMS. EMERGENCE OF OTHER FOOD TRENDS AND HIGHER CONSUMER INTEREST AND ENGAGEMENT IN THE TRANSITION TOWARD SUSTAINABLE FOOD DEVELOPMENT AND INNOVATIVE GREEN STRATEGIES ARE EXPECTED IN THE FUTURE."
"APPLICATION OF ARTIFICIAL INTELLIGENCE TO CORELATE FOOD FORMULATIONS TO DISEASE RISK PREDICTION: A COMPREHENSIVE REVIEW","CLINICIANS AND ADMINISTRATORS ARE APPLYING ARTIFICIAL INTELLIGENCE (AI) TECHNIQUES WIDELY AS THE PROMISING RESULTS OF THEIR APPLICATIONS IN THE HEALTHCARE HAVE BEEN ESTABLISHED. THE MEANINGFUL IMPACT OF THE AI APPLICATIONS WILL BE LIMITED UNLESS IT IS COHERENTLY APPLIED WITH HUMAN DIAGNOSIS AND INPUTS FROM SPECIALIST CLINICIAN. THIS WILL HELP TO ADDRESS LIMITATIONS AND TAKE ADVANTAGE OF THE PROMISES OF THE AI TECHNIQUES. MACHINE LEARNING IS ONE OF THE AI TECHNIQUE THAT FINDS HIGH RELEVANCE IN THE MEDICINE AND HEALTH CARE. THIS REVIEW PROVIDES AN OVERALL GLIMPSE OF CURRENT PRACTICES AND RESEARCH OUTCOMES OF THE APPLICATION OF THE AI TECHNIQUES IN THE HEALTHCARE AND MEDICAL PRACTICES. IT FURTHER DESCRIBES MACHINE LEARNING TECHNIQUES IN DISEASE PREDICTION AND SCOPE FOR FOOD FORMULATIONS FOR COMBATTING DISEASE."
"APPLYING IMAGE-BASED FOOD-RECOGNITION SYSTEMS ON DIETARY ASSESSMENT: A SYSTEMATIC REVIEW","STATEMENT OF SIGNIFICANCE: THE LATEST ADVANCES OF COMPUTER VISION APPROACHES FOR DIETARY ASSESSMENT ARE DESCRIBED IN THIS REVIEW, AND RECENT APPLICATIONS OF IMAGE-BASED FOOD RECOGNITION SYSTEMS (IBFRS) IN PROFESSIONAL DIETETIC PRACTICE ARE PRESENTED. OPEN ISSUES THAT SHOULD BE TACKLED IN THE NEAR FUTURE VIA INTERDISCIPLINARY RESEARCH TO OPTIMIZE THE PERFORMANCE OF IBFRS AS WELL AS TO INCREASE THEIR ADOPTION BY THE PROFESSIONALS OF THE FIELD HAVE BEEN EXAMINED AND DISCUSSED. DIETARY ASSESSMENT CAN BE CRUCIAL FOR THE OVERALL WELL-BEING OF HUMANS AND, AT LEAST IN SOME INSTANCES, FOR THE PREVENTION AND MANAGEMENT OF CHRONIC, LIFE-THREATENING DISEASES. RECALL AND MANUAL RECORD-KEEPING METHODS FOR FOOD-INTAKE MONITORING ARE AVAILABLE, BUT OFTEN INACCURATE WHEN APPLIED FOR A LONG PERIOD OF TIME. ON THE OTHER HAND, AUTOMATIC RECORD-KEEPING APPROACHES THAT ADOPT MOBILE CAMERAS AND COMPUTER VISION METHODS SEEM TO SIMPLIFY THE PROCESS AND CAN IMPROVE CURRENT HUMAN-CENTRIC DIET-MONITORING METHODS. HERE WE PRESENT AN EXTENDED CRITICAL LITERATURE OVERVIEW OF IMAGE-BASED FOOD-RECOGNITION SYSTEMS (IBFRS) COMBINING A CAMERA OF THE USER'S MOBILE DEVICE WITH COMPUTER VISION METHODS AND PUBLICLY AVAILABLE FOOD DATASETS (PAFDS). IN BRIEF, SUCH SYSTEMS CONSIST OF SEVERAL PHASES, SUCH AS THE SEGMENTATION OF THE FOOD ITEMS ON THE PLATE, THE CLASSIFICATION OF THE FOOD ITEMS IN A SPECIFIC FOOD CATEGORY, AND THE ESTIMATION PHASE OF VOLUME, CALORIES, OR NUTRIENTS OF EACH FOOD ITEM. A TOTAL OF 159 STUDIES WERE SCREENED IN THIS SYSTEMATIC REVIEW OF IBFRS. A DETAILED OVERVIEW OF THE METHODS ADOPTED IN EACH OF THE 78 INCLUDED STUDIES OF THIS SYSTEMATIC REVIEW OF IBFRS IS PROVIDED ALONG WITH THEIR PERFORMANCE ON PAFDS. STUDIES THAT INCLUDED IBFRS WITHOUT PRESENTING THEIR PERFORMANCE IN AT LEAST 1 OF THE ABOVE-MENTIONED PHASES WERE EXCLUDED. AMONG THE INCLUDED STUDIES, 45 (58\%) STUDIES ADOPTED DEEP LEARNING METHODS AND ESPECIALLY CONVOLUTIONAL NEURAL NETWORKS (CNNS) IN AT LEAST 1 PHASE OF THE IBFRS WITH INPUT PAFDS. AMONG THE IMPLEMENTED TECHNIQUES, CNNS OUTPERFORM ALL OTHER APPROACHES ON THE PAFDS WITH A LARGE VOLUME OF DATA, SINCE THE RICHNESS OF THESE DATASETS PROVIDES ADEQUATE TRAINING RESOURCES FOR SUCH ALGORITHMS. WE ALSO PRESENT EVIDENCE FOR THE BENEFITS OF APPLICATION OF IBFRS IN PROFESSIONAL DIETETIC PRACTICE. FURTHERMORE, CHALLENGES RELATED TO THE IBFRS PRESENTED HERE ARE ALSO THOROUGHLY DISCUSSED ALONG WITH FUTURE DIRECTIONS."
"COULD QSOR MODELLING AND MACHINE LEARNING TECHNIQUES BE USEFUL TO PREDICT WINE AROMA?","FOOD INFORMATICS IS HAVING AN INCREASING IMPACT ON THE FOOD INDUSTRY AND IMPROVING THE QUALITY OF END PRODUCTS, AS WELL AS THE EFFICIENCY OF MANUFACTURING PROCESSES. IN THE CASE OF WINEMAKING, A PARTICULAR APPLICATION OF INTEREST FOR FOOD INFORMATICS IS THE SENSORY ANALYSIS OF WINES. THIS PROBLEM CAN BENEFIT FROM THE STRONG DEVELOPMENT THAT MACHINE LEARNING HAS ACHIEVED IN RECENT DECADES. HOWEVER, THESE DATA-DRIVEN TECHNIQUES REQUIRE ACCURATE AND SUFFICIENT INFORMATION TO GENERATE MODELS CAPABLE OF PREDICTING THE SENSORY PROFILE OF WINES. A REVIEW OF THE SENSORY ANALYSIS AND VOLATILE COMPOSITION OF WINES IS PRESENTED IN THIS WORK, ALONG WITH SIGNIFICANT STUDIES ON THE USE OF MACHINE LEARNING MODELS TO PREDICT WINE-RELATED CHARACTERISTICS SUCH AS THE ANTIOXIDANT ACTIVITY OF POLYPHENOLS OF WINE AND AROMA COMPOUNDS. IN THIS SENSE, DATA FROM A SENSORY PANEL AND ANALYTICAL TECHNOLOGY WERE GATHERED. THIS LITERATURE REVIEW REVEALS THE LACK OF A HOMOGENEOUS AND SUFFICIENTLY LARGE DATABASE OF SENSORY ANALYSIS RELATED TO THE VOLATILE COMPOSITION OF WINES TO DEVELOP MACHINE LEARNING MODELS. HOWEVER, AMONG ARTIFICIAL INTELLIGENCE APPROACHES, THE APPLICATION OF QUANTITATIVE STRUCTURE-ODOUR RELATIONSHIP (QSOR) MODELS IS CURRENTLY GAINING IMPORTANCE. RECENT STUDIES SHOW THAT IT WOULD BE POSSIBLE TO PREDICT QUANTITATIVELY THE SENSORY ANALYSIS OF WINES BY QSOR MODELS, USING GENERAL VOLATILE COMPOSITION INFORMATION. THEREFORE, THE PURPOSE OF THIS REVIEW IS TO IDENTIFY KEY ASPECTS AND GUIDELINES FOR THE DEVELOPMENT OF THIS AREA."
"HARNESSING FOOD PRODUCT REVIEWS FOR PERSONALIZING SWEETNESS LEVELS","SWEET TASTE IS INNATELY APPEALING, ENSURING THAT MAMMALS ARE ATTRACTED TO THE SWEETNESS OF MOTHER'S MILK AND OTHER SOURCES OF CARBOHYDRATES AND CALORIES. IN THE MODERN WORLD, THE AVAILABILITY OF SUGARS AND SWEETENERS AND THE EAGERNESS OF THE FOOD INDUSTRY TO MAXIMIZE PALATABILITY, RESULT IN AN ABUNDANCE OF SWEET FOOD PRODUCTS, WHICH POSES A MAJOR HEALTH CHALLENGE. THE AIM OF THE CURRENT STUDY IS TO ANALYZE SWEETNESS LEVELS, LIKING, AND INGREDIENTS OF ONLINE REVIEWS OF FOOD PRODUCTS, IN ORDER TO OBTAIN INSIGHTS INTO SENSORY NUTRITION AND TO IDENTIFY NEW OPPORTUNITIES FOR RECONCILING THE PALATABILITY-HEALTHINESS TENSION. WE COLLECTED OVER 200,000 REVIEWS OF SIMILAR TO 30,000 PRODUCTS ON AMAZON DATED FROM 2002 TO 2012 AND SIMILAR TO 350,000 REVIEWS OF SIMILAR TO 2400 PRODUCTS ON IHERB FROM 2006 TO 2021. THE REVIEWS WERE CLASSIFIED AND ANALYZED USING MANUAL CURATION, NATURAL LANGUAGE PROCESSING, AND MACHINE LEARNING. IN TOTAL, SIMILAR TO 32,000 (AMAZON) AND SIMILAR TO 29,000 (IHERB) OF THESE REVIEWS MENTION SWEETNESS, WITH 2200 AND 4600 REVIEWS REFERRING TO THE PURCHASED PRODUCTS AS OVERSWEET. OVERSWEET REVIEWS WERE DISPERSED AMONG CONSUMERS. PRODUCTS THAT INCLUDED SUCRALOSE HAD MORE OVERSWEET REVIEWS THAN AVERAGE. 26 PRODUCTS HAD AT LEAST 50 REVIEWS FOR WHICH AT LEAST 10\% WERE OVERSWEET. FOR THESE PRODUCTS, THE AVERAGE LIKING BY CONSUMERS REPORTING OVERSWEETNESS WAS SIGNIFICANTLY LOWER (BY 0.9 STARS ON AVERAGE ON A 1 TO 5 STARS SCALE) THAN BY THE REST OF THE CONSUMERS. IN SUMMARY, OVERSWEETNESS APPEARS IN 7-16\% OF THE SWEETNESS-RELATED REVIEWS AND IS LESS LIKED, WHICH SUGGESTS AN OPPORTUNITY FOR CUSTOMIZED PRODUCTS WITH REDUCED SWEETNESS. THESE PRODUCTS WILL BE SIMULTANEOUSLY HEALTHIER AND TASTIER FOR A SUBSTANTIAL SUBGROUP OF CUSTOMERS AND WILL BENEFIT THE MANUFACTURER BY EXPANDING THE PRODUCTS' TARGET AUDIENCE. ANALYSIS OF CONSUMERS' REVIEWS OF MARKETED FOOD PRODUCTS OFFERS NEW WAYS TO OBTAIN INFORMATIVE SENSORY DATA."
"MEAT 4.0: PRINCIPLES AND APPLICATIONS OF INDUSTRY 4.0 TECHNOLOGIES IN THE MEAT INDUSTRY","MEAT 4.0 REFERS TO THE APPLICATION THE FOURTH INDUSTRIAL REVOLUTION (INDUSTRY 4.0) TECHNOLOGIES IN THE MEAT SECTOR. INDUSTRY 4.0 COMPONENTS, SUCH AS ROBOTICS, INTERNET OF THINGS, BIG DATA, AUGMENTED REALITY, CYBERSECURITY, AND BLOCKCHAIN, HAVE RECENTLY TRANSFORMED MANY INDUSTRIAL AND MANUFACTURING SECTORS, INCLUDING AGRI-FOOD SECTORS, SUCH AS THE MEAT INDUSTRY. THE NEED FOR DIGITALISED AND AUTOMATED SOLUTIONS THROUGHOUT THE WHOLE FOOD SUPPLY CHAIN HAS INCREASED REMARKABLY DURING THE COVID-19 PANDEMIC. THIS REVIEW WILL INTRODUCE THE CONCEPT OF MEAT 4.0, HIGHLIGHT ITS MAIN ENABLERS, AND PROVIDE AN UPDATED OVERVIEW OF RECENT DEVELOPMENTS AND APPLICATIONS OF INDUSTRY 4.0 INNOVATIONS AND ADVANCED TECHNIQUES IN DIGITAL TRANSFORMATION AND PROCESS AUTOMATION OF THE MEAT INDUSTRY. A PARTICULAR FOCUS WILL BE PUT ON THE ROLE OF MEAT 4.0 ENABLERS IN MEAT PROCESSING, PRESERVATION AND ANALYSES OF QUALITY, SAFETY AND AUTHENTICITY. OUR LITERATURE REVIEW SHOWS THAT INDUSTRY 4.0 HAS SIGNIFICANT POTENTIAL TO IMPROVE THE WAY MEAT IS PROCESSED, PRESERVED, AND ANALYSED, REDUCE FOOD WASTE AND LOSS, DEVELOP SAFE MEAT PRODUCTS OF HIGH QUALITY, AND PREVENT MEAT FRAUD. DESPITE THE CURRENT CHALLENGES, GROWING LITERATURE SHOWS THAT THE MEAT SECTOR CAN BE HIGHLY AUTOMATED USING SMART TECHNOLOGIES, SUCH AS ROBOTS AND SMART SENSORS BASED ON SPECTROSCOPY AND IMAGING TECHNOLOGY."
"HYPERSPECTRAL IMAGING AND MACHINE LEARNING IN FOOD MICROBIOLOGY: DEVELOPMENTS AND CHALLENGES IN DETECTION OF BACTERIAL, FUNGAL, AND VIRAL CONTAMINANTS","HYPERSPECTRAL IMAGING (HSI) IS A ROBUST AND NONDESTRUCTIVE METHOD THAT CAN DETECT FOREIGN PARTICLES SUCH AS MICROBIAL, CHEMICAL, AND PHYSICAL CONTAMINATION IN FOOD. THIS REVIEW SUMMARIZES THE WORK DONE IN THE LAST TWO DECADES IN THIS FIELD WITH A HIGHLIGHT ON CHALLENGES, RISKS, AND RESEARCH GAPS. CONSIDERING THE CHALLENGES OF USING HSI ON COMPLEX MATRICES LIKE FOOD (E.G., THE CONFOUNDING AND MASKING EFFECTS OF BACKGROUND SIGNALS), APPLICATION OF MACHINE LEARNING AND MODELING APPROACHES THAT HAVE BEEN SUCCESSFUL IN ACHIEVING BETTER ACCURACY AS WELL AS INCREASING THE DETECTION LIMIT HAVE ALSO BEEN DISCUSSED HERE. FOODBORNE MICROBIAL CONTAMINANTS SUCH AS BACTERIA, FUNGI, VIRUSES, YEAST, AND PROTOZOA ARE OF INTEREST AND CONCERN TO FOOD MANUFACTURERS DUE TO THE POTENTIAL RISK OF EITHER FOOD POISONING OR FOOD SPOILAGE. DETECTION OF THESE CONTAMINANTS USING FAST AND EFFICIENT METHODS WOULD NOT ONLY PREVENT OUTBREAKS AND RECALLS BUT WILL ALSO INCREASE CONSUMER ACCEPTANCE AND DEMAND FOR SHELF-STABLE FOOD PRODUCTS. THE CONVENTIONAL CULTURE-BASED METHODS FOR MICROBIAL DETECTION ARE TIME AND LABOR-INTENSIVE, WHEREAS HYPERSPECTRAL IMAGING (HSI) IS ROBUST, NONDESTRUCTIVE WITH MINIMUM SAMPLE PREPARATION, AND HAS GAINED SIGNIFICANT ATTENTION DUE TO ITS RAPID APPROACH TO DETECTION OF MICROBIAL CONTAMINANTS. THIS REVIEW IS A COMPREHENSIVE SUMMARY OF THE DETECTION OF BACTERIAL, VIRAL, AND FUNGAL CONTAMINANTS IN FOOD WITH DETAILED EMPHASIS ON THE SPECIFIC MODELING AND DATAMINING APPROACHES USED TO OVERCOME THE SPECIFIC CHALLENGES ASSOCIATED WITH BACKGROUND AND DATA COMPLEXITY."
"ARTIFICIAL INTELLIGENCE IN FOOD SCIENCE AND NUTRITION: A NARRATIVE REVIEW","IN THE LATE 2010S, ARTIFICIAL INTELLIGENCE (AI) TECHNOLOGIES BECAME COMPLEMENTARY TO THE RESEARCH AREAS OF FOOD SCIENCE AND NUTRITION. THIS REVIEW AIMS TO SUMMARIZE THESE TECHNOLOGICAL ADVANCES BY SYSTEMATICALLY DESCRIBING THE FOLLOWING: THE USE OF AI IN OTHER FIELDS (EG, ENGINEERING, PHARMACY, AND MEDICINE); THE HISTORY OF AI IN RELATION TO FOOD SCIENCE AND NUTRITION; THE AI TECHNOLOGIES CURRENTLY USED IN THE AGRICULTURAL AND FOOD INDUSTRIES; AND SOME OF THE IMPORTANT APPLICATIONS OF AI IN AREAS SUCH AS IMMUNITY-BOOSTING FOODS, DIETARY ASSESSMENT, GUT MICROBIOME PROFILE ANALYSIS, AND TOXICITY PREDICTION OF FOOD INGREDIENTS. THESE APPLICATIONS ARE LIKELY TO BE IN GREAT DEMAND IN THE NEAR FUTURE. THIS REVIEW CAN PROVIDE A STARTING POINT FOR BRAINSTORMING AND FOR GENERATING NEW AI APPLICATIONS IN FOOD SCIENCE AND NUTRITION THAT HAVE YET TO BE IMAGINED."
"RECENT APPLICATION OF ARTIFICIAL NEURAL NETWORK IN MICROWAVE DRYING OF FOODS: A MINI-REVIEW","THE MICROWAVE-ASSISTED THERMAL PROCESS IS A HIGH-EFFICIENCY DRYING METHOD AND IS PROMISING TO BE APPLIED IN THE FOOD INDUSTRY. HOWEVER, THE PREDICTION OF THE THERMAL TREATMENT RESULTS FROM SUCH A DYNAMIC AND COMPLICATED PROCESS CAN BE DIFFICULT. ADDITIONALLY, THE DETERMINATION OF THE OPTIMAL DRYING PARAMETERS, SUCH AS DRYING TEMPERATURE, MICROWAVE POWER, AND DRYING TIME FOR OPTIMIZED PERFORMANCE CAN ALSO BE HARD. RECENTLY, EXTENSIVE RESEARCH HAS BEEN FOCUSING ON THE USE OF ARTIFICIAL NEURAL NETWORK (ANN) MODELS IN THE LABORATORY-SCALE MICROWAVE DRYING PROCESSES AND HAS SHOWN THE FEASIBILITY OF SUCH APPLICATION. AS A REGRESSION TOOL, THE ANN MODELS HAVE BEEN WIDELY USED IN PREDICTING DRYING PERFORMANCE; WHEN INTEGRATED WITH ADDITIONAL OPTIMIZING ALGORITHMS, THE ANN MODELS COULD BE USED FOR DRYING PARAMETER OPTIMIZATION; AND WHEN COMBINED WITH REAL-TIME MEASURING TECHNIQUES (E.G. NUCLEAR MAGNETIC RESONANCE), THE ANN MODELS COULD BE USED FOR MONITORING AND CONTROLLING THE DRYING PROCESS IN A DYNAMIC SENSE. FUTURE RESEARCH COULD FOCUS ON TESTING THE DEVELOPED ANN MODELS IN INDUSTRIAL-SCALE MICROWAVE DRYING PROCESSES AND APPLYING THE ANN MODELS IN MICROWAVE DRYING KINETICS RESEARCH FOR OPTIMIZING THE DYNAMIC DRYING PROCESSES. (C) 2022 SOCIETY OF CHEMICAL INDUSTRY."
"A SURVEY ON COMPUTATIONAL TASTE PREDICTORS","TASTE IS A SENSORY MODALITY CRUCIAL FOR NUTRITION AND SURVIVAL, SINCE IT ALLOWS THE DISCRIMINATION BETWEEN HEALTHY FOODS AND TOXIC SUBSTANCES THANKS TO FIVE TASTES, I.E., SWEET, BITTER, UMAMI, SALTY, AND SOUR, ASSOCIATED WITH DISTINCT NUTRITIONAL OR PHYSIOLOGICAL NEEDS. TODAY, TASTE PREDICTION PLAYS A KEY ROLE IN SEVERAL FIELDS, E.G., MEDICAL, INDUSTRIAL, OR PHARMACEUTICAL, BUT THE COMPLEXITY OF THE TASTE PERCEPTION PROCESS, ITS MULTIDISCIPLINARY NATURE, AND THE HIGH NUMBER OF POTENTIALLY RELEVANT PLAYERS AND FEATURES AT THE BASIS OF THE TASTE SENSATION MAKE TASTE PREDICTION A VERY COMPLEX TASK. IN THIS CONTEXT, THE EMERGING CAPABILITIES OF MACHINE LEARNING HAVE PROVIDED FRUITFUL INSIGHTS IN THIS FIELD OF RESEARCH, ALLOWING TO CONSIDER AND INTEGRATE A VERY LARGE NUMBER OF VARIABLES AND IDENTIFYING HIDDEN CORRELATIONS UNDERLYING THE PERCEPTION OF A PARTICULAR TASTE. THIS REVIEW AIMS AT SUMMARIZING THE LATEST ADVANCES IN TASTE PREDICTION, ANALYZING AVAILABLE FOOD-RELATED DATABASES AND TASTE PREDICTION TOOLS DEVELOPED IN RECENT YEARS."
